episode,timestep,reward
1,200,33.0
3,400,139.0
5,600,82.5
7,800,184.0
9,1000,207.5
11,1200,167.5
13,1400,164.5
15,1600,95.0
17,1800,162.0
19,2000,98.0
21,2200,110.5
23,2400,126.0
25,2600,168.5
27,2800,134.0
29,3000,148.0
31,3200,197.5
33,3400,69.0
35,3600,106.0
37,3800,154.5
39,4000,129.0
41,4200,166.0
43,4400,133.5
45,4600,175.0
47,4800,161.5
49,5000,128.0
51,5200,169.5
53,5400,214.5
55,5600,188.0
57,5800,195.0
59,6000,167.0
61,6200,149.0
63,6400,157.0
65,6600,179.5
67,6800,117.0
69,7000,197.5
71,7200,129.0
73,7400,167.0
75,7600,173.5
77,7800,213.5
79,8000,180.5
81,8200,184.0
83,8400,230.0
85,8600,182.5
87,8800,133.0
89,9000,243.5
91,9200,233.0
93,9400,190.0
95,9600,113.5
97,9800,277.5
99,10000,178.5
101,10200,192.0
103,10400,175.0
105,10600,152.0
107,10800,171.5
109,11000,167.0
111,11200,200.0
113,11400,260.0
115,11600,204.0
117,11800,171.5
119,12000,164.0
121,12200,202.5
123,12400,114.0
125,12600,151.0
127,12800,204.5
129,13000,231.5
131,13200,190.0
133,13400,203.0
135,13600,186.0
137,13800,176.5
139,14000,127.0
141,14200,172.0
143,14400,197.0
145,14600,204.5
147,14800,240.5
149,15000,166.0
151,15200,191.5
153,15400,165.0
155,15600,226.5
157,15800,167.5
159,16000,292.5
161,16200,245.5
163,16400,199.5
165,16600,286.5
167,16800,234.0
169,17000,171.5
171,17200,166.0
173,17400,204.5
175,17600,158.5
177,17800,116.0
179,18000,164.5
181,18200,207.5
183,18400,194.5
185,18600,141.0
187,18800,152.5
189,19000,204.0
191,19200,158.0
193,19400,244.0
195,19600,169.5
197,19800,183.5
199,20000,261.5
201,20200,197.0
203,20400,339.0
205,20600,205.0
207,20800,185.5
209,21000,198.0
211,21200,161.5
213,21400,111.0
215,21600,192.0
217,21800,200.0
219,22000,208.5
221,22200,208.0
223,22400,140.0
225,22600,138.0
227,22800,228.0
229,23000,144.0
231,23200,204.5
233,23400,192.0
235,23600,193.5
237,23800,232.0
239,24000,201.0
241,24200,148.5
243,24400,202.5
245,24600,191.0
247,24800,196.0
249,25000,157.5
251,25200,174.0
253,25400,149.0
255,25600,174.5
257,25800,196.0
259,26000,161.5
261,26200,204.5
263,26400,171.0
265,26600,149.5
267,26800,208.5
269,27000,204.5
271,27200,127.0
273,27400,165.5
275,27600,192.5
277,27800,130.0
279,28000,182.0
281,28200,225.0
283,28400,162.0
285,28600,208.5
287,28800,252.0
289,29000,229.5
291,29200,160.5
293,29400,226.0
295,29600,197.0
297,29800,155.0
299,30000,218.5
301,30200,130.0
303,30400,160.0
305,30600,202.5
307,30800,184.0
309,31000,202.5
311,31200,248.0
313,31400,223.0
315,31600,149.0
317,31800,176.5
319,32000,254.5
321,32200,164.0
323,32400,303.5
325,32600,224.5
327,32800,303.5
329,33000,194.5
331,33200,258.0
333,33400,267.5
335,33600,253.5
337,33800,192.5
339,34000,176.0
341,34200,200.0
343,34400,307.5
345,34600,184.0
347,34800,215.0
349,35000,214.0
351,35200,231.0
353,35400,218.0
355,35600,168.0
357,35800,142.5
359,36000,204.5
361,36200,227.5
363,36400,190.0
365,36600,239.5
367,36800,225.0
369,37000,190.0
371,37200,173.0
373,37400,196.0
375,37600,211.5
377,37800,128.0
379,38000,148.5
381,38200,205.5
383,38400,227.0
385,38600,216.5
387,38800,227.5
389,39000,220.0
391,39200,231.5
393,39400,255.0
395,39600,168.5
397,39800,168.0
399,40000,191.5
401,40200,240.5
403,40400,194.0
405,40600,221.5
407,40800,245.0
409,41000,191.5
411,41200,209.5
413,41400,235.0
415,41600,150.5
417,41800,228.5
419,42000,129.5
421,42200,206.5
423,42400,169.0
425,42600,167.0
427,42800,301.5
429,43000,211.0
431,43200,291.0
433,43400,247.0
435,43600,236.0
437,43800,141.0
439,44000,210.0
441,44200,187.5
443,44400,163.5
445,44600,128.5
447,44800,190.0
449,45000,141.5
451,45200,236.5
453,45400,214.0
455,45600,223.0
457,45800,200.5
459,46000,210.0
461,46200,206.0
463,46400,274.5
465,46600,175.5
467,46800,239.0
469,47000,189.0
471,47200,256.5
473,47400,193.5
475,47600,214.0
477,47800,217.5
479,48000,230.5
481,48200,235.0
483,48400,177.0
485,48600,182.5
487,48800,201.5
489,49000,187.5
491,49200,194.5
493,49400,168.5
495,49600,261.5
497,49800,188.5
499,50000,188.0
501,50200,190.5
503,50400,169.0
505,50600,134.0
507,50800,310.0
509,51000,210.0
511,51200,159.0
513,51400,190.0
515,51600,126.5
517,51800,186.5
519,52000,191.5
521,52200,182.5
523,52400,217.5
525,52600,245.0
527,52800,244.0
529,53000,155.5
531,53200,239.5
533,53400,231.0
535,53600,196.5
537,53800,172.5
539,54000,155.5
541,54200,243.5
543,54400,196.0
545,54600,191.0
547,54800,233.0
549,55000,267.0
551,55200,182.5
553,55400,188.0
555,55600,201.0
557,55800,97.0
559,56000,242.5
561,56200,112.0
563,56400,189.0
565,56600,244.5
567,56800,134.0
569,57000,256.5
571,57200,128.0
573,57400,171.0
575,57600,204.5
577,57800,215.5
579,58000,215.0
581,58200,195.0
583,58400,213.0
585,58600,187.0
587,58800,132.5
589,59000,244.0
591,59200,112.5
593,59400,194.0
595,59600,258.0
597,59800,189.5
599,60000,215.0
601,60200,241.0
603,60400,227.5
605,60600,196.0
607,60800,302.5
609,61000,243.5
611,61200,124.0
613,61400,182.0
615,61600,288.5
617,61800,154.5
619,62000,185.0
621,62200,157.0
623,62400,302.0
625,62600,210.5
627,62800,199.5
629,63000,227.0
631,63200,169.5
633,63400,205.5
635,63600,204.0
637,63800,161.0
639,64000,243.0
641,64200,182.5
643,64400,173.0
645,64600,196.5
647,64800,246.0
649,65000,214.0
651,65200,191.5
653,65400,258.5
655,65600,217.0
657,65800,139.0
659,66000,173.0
661,66200,190.0
663,66400,257.5
665,66600,187.0
667,66800,205.0
669,67000,236.5
671,67200,251.5
673,67400,312.0
675,67600,272.0
677,67800,171.5
679,68000,212.0
681,68200,227.0
683,68400,241.5
685,68600,231.0
687,68800,201.5
689,69000,177.5
691,69200,176.5
693,69400,177.0
695,69600,215.5
697,69800,204.0
699,70000,242.5
701,70200,212.5
703,70400,215.5
705,70600,235.5
707,70800,199.5
709,71000,99.5
711,71200,192.0
713,71400,191.0
715,71600,331.0
717,71800,225.5
719,72000,273.5
721,72200,233.0
723,72400,248.0
725,72600,235.0
727,72800,225.0
729,73000,261.0
731,73200,218.0
733,73400,237.0
735,73600,168.0
737,73800,192.0
739,74000,221.0
741,74200,145.0
743,74400,222.0
745,74600,199.5
747,74800,211.5
749,75000,206.0
751,75200,169.5
753,75400,207.0
755,75600,190.5
757,75800,236.0
759,76000,185.5
761,76200,210.0
763,76400,268.5
765,76600,226.0
767,76800,203.5
769,77000,264.0
771,77200,256.5
773,77400,325.5
775,77600,201.5
777,77800,227.5
779,78000,235.5
781,78200,206.0
783,78400,175.5
785,78600,260.0
787,78800,181.5
789,79000,235.0
791,79200,251.0
793,79400,192.5
795,79600,263.0
797,79800,215.5
799,80000,281.0
801,80200,139.5
803,80400,211.0
805,80600,168.0
807,80800,178.5
809,81000,190.5
811,81200,220.5
813,81400,284.0
815,81600,303.0
817,81800,193.0
819,82000,201.5
821,82200,213.5
823,82400,189.0
825,82600,205.0
827,82800,198.0
829,83000,228.0
831,83200,231.5
833,83400,229.0
835,83600,173.0
837,83800,215.0
839,84000,114.0
841,84200,123.5
843,84400,270.0
845,84600,224.0
847,84800,179.0
849,85000,181.0
851,85200,128.5
853,85400,215.5
855,85600,132.0
857,85800,277.5
859,86000,101.0
861,86200,244.0
863,86400,288.5
865,86600,129.0
867,86800,195.5
869,87000,241.5
871,87200,218.5
873,87400,254.0
875,87600,130.0
877,87800,295.5
879,88000,165.5
881,88200,98.0
883,88400,92.0
885,88600,214.5
887,88800,186.0
889,89000,198.0
891,89200,178.5
893,89400,247.5
895,89600,132.5
897,89800,175.0
899,90000,279.0
901,90200,205.0
903,90400,145.5
905,90600,230.0
907,90800,238.0
909,91000,98.0
911,91200,167.5
913,91400,166.5
915,91600,204.5
917,91800,169.0
919,92000,179.5
921,92200,213.5
923,92400,192.0
925,92600,178.5
927,92800,192.5
929,93000,156.0
931,93200,292.5
933,93400,215.5
935,93600,231.0
937,93800,279.0
939,94000,176.5
941,94200,215.5
943,94400,240.5
945,94600,237.5
947,94800,143.5
949,95000,124.0
951,95200,216.5
953,95400,234.0
955,95600,207.0
957,95800,176.0
959,96000,136.0
961,96200,232.5
963,96400,202.5
965,96600,253.0
967,96800,169.0
969,97000,253.0
971,97200,213.5
973,97400,203.5
975,97600,190.0
977,97800,242.0
979,98000,217.5
981,98200,227.0
983,98400,162.0
985,98600,155.5
987,98800,158.5
989,99000,114.0
991,99200,237.0
993,99400,157.0
995,99600,216.0
997,99800,83.0
999,100000,142.0
1001,100200,236.0
1003,100400,316.5
1005,100600,127.5
1007,100800,210.0
1009,101000,179.0
1011,101200,176.0
1013,101400,149.0
1015,101600,187.5
1017,101800,129.0
1019,102000,316.5
1021,102200,114.0
1023,102400,192.0
1025,102600,223.0
1027,102800,226.0
1029,103000,114.5
1031,103200,217.0
1033,103400,178.5
1035,103600,145.5
1037,103800,188.5
1039,104000,187.5
1041,104200,278.0
1043,104400,270.0
1045,104600,117.0
1047,104800,180.0
1049,105000,187.5
1051,105200,280.5
1053,105400,212.5
1055,105600,149.0
1057,105800,217.5
1059,106000,171.0
1061,106200,188.5
1063,106400,243.0
1065,106600,171.5
1067,106800,105.5
1069,107000,62.5
1071,107200,177.5
1073,107400,171.0
1075,107600,135.0
1077,107800,268.0
1079,108000,268.5
1081,108200,121.0
1083,108400,201.5
1085,108600,114.5
1087,108800,130.0
1089,109000,169.0
1091,109200,220.0
1093,109400,172.0
1095,109600,192.0
1097,109800,202.0
1099,110000,232.0
1101,110200,173.0
1103,110400,156.0
1105,110600,234.5
1107,110800,222.5
1109,111000,161.5
1111,111200,182.0
1113,111400,170.5
1115,111600,144.5
1117,111800,166.5
1119,112000,108.0
1121,112200,178.5
1123,112400,116.5
1125,112600,165.5
1127,112800,229.0
1129,113000,167.0
1131,113200,173.0
1133,113400,205.0
1135,113600,227.5
1137,113800,274.5
1139,114000,210.0
1141,114200,198.0
1143,114400,170.0
1145,114600,158.5
1147,114800,180.5
1149,115000,281.0
1151,115200,155.5
1153,115400,220.5
1155,115600,140.0
1157,115800,143.5
1159,116000,221.0
1161,116200,176.0
1163,116400,163.5
1165,116600,180.0
1167,116800,168.5
1169,117000,171.5
1171,117200,258.0
1173,117400,220.5
1175,117600,152.5
1177,117800,182.0
1179,118000,252.5
1181,118200,99.0
1183,118400,179.0
1185,118600,216.5
1187,118800,241.0
1189,119000,212.0
1191,119200,209.5
1193,119400,258.5
1195,119600,171.0
1197,119800,199.5
1199,120000,237.0
1201,120200,247.5
1203,120400,199.5
1205,120600,254.0
1207,120800,146.5
1209,121000,182.5
1211,121200,89.5
1213,121400,255.5
1215,121600,139.5
1217,121800,163.0
1219,122000,267.0
1221,122200,297.5
1223,122400,193.5
1225,122600,238.0
1227,122800,187.5
1229,123000,250.5
1231,123200,202.5
1233,123400,141.5
1235,123600,151.0
1237,123800,171.5
1239,124000,185.5
1241,124200,261.0
1243,124400,149.5
1245,124600,196.0
1247,124800,191.5
1249,125000,255.0
1251,125200,97.5
1253,125400,168.5
1255,125600,159.0
1257,125800,149.0
1259,126000,168.5
1261,126200,136.0
1263,126400,240.5
1265,126600,236.0
1267,126800,224.0
1269,127000,202.5
1271,127200,202.0
1273,127400,173.0
1275,127600,178.0
1277,127800,142.5
1279,128000,301.0
1281,128200,112.5
1283,128400,176.5
1285,128600,134.0
1287,128800,269.0
1289,129000,250.5
1291,129200,203.5
1293,129400,260.5
1295,129600,159.5
1297,129800,172.0
1299,130000,168.5
1301,130200,126.5
1303,130400,254.5
1305,130600,196.5
1307,130800,195.0
1309,131000,178.5
1311,131200,150.0
